#,Country,Life Expectancy (both sexes),Females Life Expectancy,Males Life Expectancy,latitude,longitude
1,Hong Kong,85.83,88.66,83.0,22.2793278,114.1628131
2,Macao,85.51,88.11,82.88,22.1899448,113.5380454
3,Japan,84.95,87.97,81.91,36.5748441,139.2394179
4,Switzerland,84.38,86.05,82.63,46.7985624,8.2319736
5,Singapore,84.27,86.42,82.13,1.357107,103.8194992
6,Italy,84.2,86.13,82.15,42.6384261,12.674297
7,South Korea,84.14,87.23,80.83,36.638392,127.6961188
8,Spain,84.05,86.68,81.35,39.3260685,-4.8379791
9,Malta,83.85,85.83,81.81,35.8885993,14.4476911
10,Australia,83.73,85.56,81.89,-24.7761086,134.755
11,French Polynesia,83.7,86.1,81.49,-17.0243749,-144.6434898
12,Sweden,83.65,85.22,82.08,59.6749712,14.5208584
13,Norway,83.55,85.17,81.91,61.1529386,8.7876653
14,Martinique,83.45,86.09,80.44,14.6367927,-61.01582685063731
15,Israel,83.39,85.1,81.59,30.8124247,34.8594762
16,France,83.35,86.08,80.5,46.603354,1.8883335
17,Guadeloupe,83.34,86.43,79.68,16.2528827,-61.5686855
18,New Zealand,83.16,84.84,81.43,-41.5000831,172.8344077
19,Canada,83.02,84.94,81.07,61.0666922,-107.991707
20,Iceland,82.96,84.41,81.55,64.9841821,-18.1059013
21,Ireland,82.88,84.54,81.21,52.865196,-7.9794599
22,Réunion,82.78,85.52,79.95,-21.130737949999997,55.536480112992315
23,Luxembourg,82.75,84.89,80.64,49.8158683,6.1296751
24,Netherlands,82.58,84.02,81.1,52.2434979,5.6343227
25,Austria,82.57,84.72,80.35,47.59397,14.12456
26,Finland,82.52,85.0,80.01,63.2467777,25.9209164
27,Belgium,82.46,84.5,80.36,50.6402809,4.6667145
28,Portugal,82.42,85.06,79.53,39.6621648,-8.1353519
29,Slovenia,82.31,84.75,79.86,46.1199444,14.8153333
30,United Kingdom,82.31,83.97,80.61,54.7023545,-3.2765753
31,Germany,82.18,84.44,79.9,51.1638175,10.4478313
32,Cyprus,82.05,83.81,80.26,34.9823018,33.1451285
33,Denmark,82.03,83.92,80.14,55.670249,10.3333283
34,Greece,82.0,84.44,79.58,38.9953683,21.9877132
35,Qatar,81.73,83.25,80.81,25.3336984,51.2295295
36,Taiwan,81.47,84.68,78.36,23.9739374,120.9820179
37,New Caledonia,81.18,84.74,77.76,-21.3019905,165.4880773
38,Chile,81.16,83.41,78.84,-31.7613365,-71.3187697
39,Maldives,81.07,82.06,80.3,3.7203503,73.2244152
40,Bahrain,80.69,81.92,79.68,26.1551249,50.5344606
41,United Arab Emirates,80.46,82.57,79.02,24.0002488,53.9994829
42,Kuwait,80.45,82.91,79.09,29.2733964,47.4979476
43,Costa Rica,80.26,82.66,77.92,10.2735633,-84.0739102
44,Puerto Rico,79.94,84.04,75.83,18.2247706,-66.4858295
45,Thailand,79.91,84.08,75.75,14.8971921,100.83273
46,Czech Republic (Czechia),79.82,82.58,77.02,49.7439047,15.3381061
47,United States,79.74,82.23,77.27,39.7837304,-100.445882
48,Antigua and Barbuda,79.42,81.8,76.71,17.2234721,-61.9554608
49,Croatia,79.4,82.14,76.61,45.3658443,15.6575209
50,Estonia,79.31,83.11,75.2,58.7523778,25.3319078
51,Oman,78.97,80.77,77.45,21.0000287,57.0036901
52,China,78.79,81.52,76.18,35.000074,104.999927
53,Turkey,78.68,81.67,75.62,38.9597594,34.9249653
54,Poland,78.6,82.26,74.89,52.215933,19.134422
55,Panama,78.56,81.59,75.62,8.559559,-81.1308434
56,Guam,78.52,82.2,75.06,13.450125700000001,144.75755102972062
57,Slovakia,78.36,81.59,75.04,48.7411522,19.4528646
58,Cuba,78.33,80.73,75.97,23.0131338,-80.8328748
59,Uruguay,78.16,81.82,74.34,-32.8755548,-56.0201525
60,Saudi Arabia,78.1,79.73,76.87,25.6242618,42.3528328
61,Ecuador,78.08,80.65,75.51,-1.3397668,-79.3666965
62,Albania,78.06,80.54,75.83,41.000028,19.9999619
63,Mayotte,78.01,81.46,74.73,-12.825543,45.148490830203045
64,Argentina,77.98,81.26,74.62,-34.9964963,-64.9672817
65,Barbados,77.86,79.74,75.83,13.1500331,-59.5250305
66,Montenegro,77.78,80.82,74.61,42.9868853,19.5180992
67,French Guiana,77.63,80.48,74.94,3.94396215,-53.037301540206464
68,Colombia,77.51,80.4,74.61,4.099917,-72.9088133
69,Algeria,77.34,78.67,76.05,28.0000272,2.9999825
70,Hungary,77.09,80.27,73.76,47.1817585,19.5060937
71,Iran,76.97,79.84,74.28,32.6475314,54.5643516
72,Peru,76.96,79.26,74.69,-6.8699697,-75.0458515
73,Tunisia,76.94,80.18,73.86,33.8439408,9.400138
74,Cabo Verde,76.93,80.9,72.57,16.0000552,-24.0083947
75,Aruba,76.9,79.62,73.95,12.51756625,-69.98186415210564
76,Lithuania,76.85,81.16,72.35,55.3500003,23.7499997
77,Curaçao,76.82,80.42,72.88,12.21339425,-69.0408499890865
78,Sri Lanka,76.8,80.39,73.06,7.877690749999999,80.6624389751148
79,Malaysia,76.42,78.96,74.11,4.5693754,102.2656823
80,Armenia,76.23,80.36,71.16,40.7696272,44.6736646
81,Bosnia and Herzegovina,76.18,78.3,74.05,44.3053476,17.5961467
82,Brazil,76.18,79.26,73.07,-10.3333333,-53.2
83,Lebanon,76.07,78.09,73.97,33.8750629,35.843409
84,Latvia,76.06,80.2,71.66,56.8406494,24.7537645
85,U.S. Virgin Islands,76.0,81.69,70.72,17.789187,-64.7080574
86,Mauritius,75.69,78.73,72.77,-20.2759451,57.5703566
87,Grenada,75.49,78.45,72.74,12.1360374,-61.6904045
88,North Macedonia,75.26,77.47,73.1,41.6171214,21.7168387
89,Serbia,75.21,78.02,72.3,44.1534121,20.55144
90,Morocco,75.2,77.41,73.11,31.1728205,-7.3362482
91,Romania,75.14,78.6,71.73,45.9852129,24.6859225
92,Mexico,75.04,78.36,71.76,23.6585116,-102.0077097
